Count,LabelObj,O1,P1
3,3,43,39.851
4,4,14,8.729
5,5,53,23.51
6,6,90,90.308
7,7,30,56.484
8,255,90,18.182
1,1,0,0
2,2,164,11.883
3,3,28,89.706
4,4,145,15.873
5,5,44,97.342
6,6,37,39.076
7,7,104,21.264
8,255,37,18.182
1,1,56,59.847
2,2,0,0
3,3,77,66.047
4,4,129,14.171
5,5,66,20
6,6,10,28.617
7,7,124,12.326
8,8,80,93.617
9,9,57,99.652
10,10,100,15.378
11,11,115,96.162
12,12,17,99.384
13,255,17,9.5
1,1,255,1.76
2,2,0,0
3,255,113,26.087
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
,,1,0
1,1,66,98.448
2,255,255,44.444
,,1,0
1,1,59,22.059
2,255,0,0
1,1,13,89.831
2,2,33,68.201
3,3,35,68.507
4,4,32,0.952
5,5,43,5.67
6,6,66,33.654
7,7,68,3.091
8,8,0,0
9,9,0,0
10,10,91,14.51
11,11,18,91.435
12,12,0,0
13,13,77,83.523
14,14,0,0
15,15,0,0
16,16,116,52.535
17,17,255,3.552
18,18,89,23.744
19,19,113,22.628
20,20,111,54.936
21,21,0,0
22,22,0,0
23,23,90,28.824
24,255,90,5.176
1,1,0,0
2,2,55,72.761
3,3,0,0
4,4,61,36.444
5,5,0,0
6,255,55,10
1,1,2,60.567
2,2,0,0
3,3,8,69.283
4,4,27,54.494
5,5,0,0
6,6,16,82.964
7,7,28,75.11
8,8,0,0
9,9,52,83.154
10,10,29,84.084
11,11,92,40.415
12,12,70,23.759
13,13,7,75.15
14,14,5,34.407
15,15,33,98.483
16,16,67,88.034
17,17,67,86.747
18,18,0,0
19,19,144,15.668
20,20,14,46.356
21,21,0,0
22,22,125,41.469
23,23,70,57.636
24,24,0,0
25,25,0,0
26,26,15,78.276
27,27,160,41.379
28,28,161,54.155
29,29,0,0
30,30,0,0
31,255,125,4.035
1,1,3,64.391
2,2,0,0
3,3,2,2.208
4,4,19,63.636
5,5,5,75.227
6,6,15,10.256
7,7,37,0.5
8,8,0,0
9,9,20,0.455
10,10,6,14.905
11,11,0,0
12,12,0,0
13,13,40,89.981
14,14,45,22.17
15,15,75,55.164
16,16,53,100
17,17,78,69.331
18,18,0,0
19,19,0,0
20,20,19,60.738
21,255,255,4.455
1,1,2,42.946
2,2,3,67.04
3,3,12,40.775
4,4,35,38.242
5,5,0,0
6,6,82,25.194
7,7,34,59.274
8,8,117,26.62
9,9,23,64.732
10,10,123,4.868
11,11,147,94.553
12,255,12,5.65
