Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
34,19.126,67.998,237,228,1375166,5802.388,1206.068,5605,4503,10413,606.316,700.131,3.527,1.745,0.694,1.759,606.308,700.263,3.516,598,689,2,17,19,3
35,20.902,68.657,259,259,1422577,5492.575,715.635,5306,4501,7054,54.12,728.726,2.413,1.623,0.616,1.589,54.054,728.81,2.387,45,719,2,16,19,2
36,34.298,125.492,425,425,2384749,5611.174,1025.865,5482,4502,9997,79.056,733.727,3.527,2.647,1.084,2.569,78.972,733.173,3.545,66,722,2,27,28,3
37,28.488,97.052,353,346,2090404,5921.824,1236.944,5550,4503,8922,453.949,394.331,4.748,2.245,0.944,2.225,453.449,394.96,4.79,444,383,3,23,27,3
38,118.39,305.622,1467,1117,10382344,7077.262,2593.319,6043,4502,16244,450.128,472.115,5.987,3.498,1.205,3.329,451.053,471.637,6.041,426,453,3,38,33,8
39,17.512,61.555,217,217,1369835,6312.604,1423.141,6103,4500,10434,328.691,488.24,3.77,1.729,0.695,1.727,328.372,488.383,3.747,319,480,3,18,16,3
40,28.407,86.877,352,341,2197413,6242.65,1521.298,5778,4506,9966,193.19,500.705,3.682,1.792,0.779,1.709,193.058,500.851,3.594,184,486,3,17,26,3
41,19.772,79.168,245,245,1428024,5828.669,1054.993,5539,4503,8968,279.212,553.857,4.261,2.023,0.71,2.067,279.078,553.824,4.247,269,546,3,23,17,3
42,30.909,110.036,383,380,1983658,5179.264,648.658,5032,4503,7350,542.381,559.99,4.418,2.451,1.091,2.262,542.112,560.187,4.398,532,550,3,30,23,4
43,34.621,127.758,429,420,2382815,5554.347,813.764,5370,4517,8740,404.462,737.331,4.007,2.529,1.108,2.607,404.442,737.224,4.001,392,720,3,27,31,4
44,30.425,87.309,377,333,2440551,6473.61,1865.26,5844,4509,12842,430.162,757.751,4.252,1.775,0.596,1.733,430.27,757.679,4.198,418,751,3,22,16,4
