Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
60,193.039,520.838,2392,2046,18984236,7936.554,2185.126,7265,5561,15969,444.179,328.762,6.734,4.402,1.476,4.458,444.027,328.716,6.783,418,308,2,51,40,9
61,24.614,68.94,305,234,2898964,9504.8,3920.533,8327,5578,22187,539.246,347.489,3.446,1.657,0.387,1.644,539.178,347.8,3.392,532,340,2,14,14,4
62,260.828,540.777,3232,2197,29350424,9081.195,3260.229,8034,5561,21283,272.309,376.545,6.877,5.216,2.159,5.16,272.505,376.711,6.815,246,350,2,53,55,9
63,114.032,208.042,1413,964,13157316,9311.618,3133.706,8655,5561,20121,613.349,395.406,3.812,2.92,0.998,2.792,613.385,394.933,3.796,601,380,2,24,39,5
64,278.341,553.812,3449,2510,34181612,9910.586,4594.682,8351,5561,31287,136.808,432.531,6.564,5.46,1.626,5.359,138.123,430.282,6.232,109,404,2,51,58,10
65,194.007,482.718,2404,1932,21703226,9027.964,3806.39,7684,5563,25543,381.396,483.473,5.348,4.447,2.099,4.018,381.229,482.913,5.414,358,458,2,46,61,8
66,326.439,495.251,4045,2314,38771360,9585.009,3131.533,9213,5563,25656,161.38,517.35,5.632,4.296,1.228,4.221,160.916,517.58,5.592,137,503,2,47,34,9
67,20.256,73.441,251,251,1860897,7413.932,1965.329,6690,5574,13683,304.335,524.143,2.761,2.436,0.991,2.577,305.677,523.894,2.755,290,518,2,28,14,2
68,362.271,666.985,4489,3053,45754700,10192.626,4756.141,8414,5561,29785,458.543,644.558,8.11,5.209,2.233,4.81,457.203,645.089,8.443,432,624,2,72,40,10
69,176.818,389.687,2191,1665,17604220,8034.788,2000.541,7587,5563,16486,290.108,653.482,5.152,3.593,1.121,3.564,289.798,653.301,5.113,274,635,2,32,36,9
70,279.632,432.894,3465,2261,37188952,10732.742,4592.012,9343,5561,29562,220.07,724.447,4.56,4.03,1.323,4.038,220.126,724.325,4.531,202,703,2,37,47,10
